Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under
5289;Animalia;Chordata;Mammalia;Carnivora;Canidae;Cuon;alpinus;;Cuon alpinus;(Pallas, 1811);SPECIES;II;;Cuon alpinus
8023;Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;culpaeus;;Lycalopex culpaeus;(Molina, 1782);SPECIES;II;;Lycalopex culpaeus
7195;Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;fulvipes;;Lycalopex fulvipes;(Martin, 1837);SPECIES;II;;Lycalopex fulvipes
8142;Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;griseus;;Lycalopex griseus;(Gray, 1837);SPECIES;II;;Lycalopex griseus
8201;Animalia;Chordata;Mammalia;Carnivora;Canidae;Lycalopex;gymnocercus;;Lycalopex gymnocercus;(G. Fischer, 1814);SPECIES;II;;Lycalopex gymnocercus
7041;Animalia;Chordata;Mammalia;Carnivora;Canidae;Speothos;venaticus;;Speothos venaticus;(Lund, 1842);SPECIES;I;;Speothos venaticus
7752;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;bengalensis;;Vulpes bengalensis;(Shaw, 1800);SPECIES;III;IN;Vulpes bengalensis
9199;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;cana;;Vulpes cana;Blanford, 1877;SPECIES;II;;Vulpes cana
12245;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;griffithi;Vulpes vulpes griffithi;Blyth, 1854;SUBSPECIES;III;IN;Vulpes vulpes griffithi
12177;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;montana;Vulpes vulpes montana;Pearson, 1836;SUBSPECIES;III;IN;Vulpes vulpes montana
12174;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;vulpes;pusilla;Vulpes vulpes pusilla;Blyth, 1854;SUBSPECIES;III;IN;Vulpes vulpes pusilla
8895;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;zerda;;Vulpes zerda;(Zimmermann, 1780);SPECIES;II;;Vulpes zerda
9088;Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Cryptoprocta;ferox;;Cryptoprocta ferox;Bennett, 1833;SPECIES;II;;Cryptoprocta ferox
7930;Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Eupleres;goudotii;;Eupleres goudotii;Doyère, 1835;SPECIES;II;;Eupleres goudotii
8387;Animalia;Chordata;Mammalia;Carnivora;Eupleridae;Fossa;fossana;;Fossa fossana;(P. L. S. Müller, 1776);SPECIES;II;;Fossa fossana
8935;Animalia;Chordata;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;;Acinonyx jubatus;(Schreber, 1775);SPECIES;I;;Acinonyx jubatus
4645;Animalia;Chordata;Mammalia;Carnivora;Felidae;Caracal;caracal;;Caracal caracal;(Schreber, 1776);SPECIES;I/II;;Caracal caracal
5147;Animalia;Chordata;Mammalia;Carnivora;Felidae;Catopuma;badia;;Catopuma badia;(Gray, 1874);SPECIES;II;;Felidae spp.
8985;Animalia;Chordata;Mammalia;Carnivora;Felidae;Catopuma;temminckii;;Catopuma temminckii;(Vigors & Horsfield, 1827);SPECIES;I;;Catopuma temminckii
11144;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;bieti;;Felis bieti;Milne-Edwards, 1892;SPECIES;II;;Felidae spp.
9395;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;chaus;;Felis chaus;Schreber, 1777;SPECIES;II;;Felidae spp.
